p_index,text
7,———..—
9,"Jan Prcisler. Krajina s balvany, olej"
10,"Julius Mařák, Krajina"
12,"František Tichý, Kouzelnické z"
13,"František Tichý, Zatiší s vajíčkem, tempera, 1940"
15,"Alois Fišárek, Kytice, 1940"
16,"Augustin Handzel, Hlava haviře"
18,Madona třeboňská
18,Madona krumlovská
19,Madona vimperská
19,"Madona plseňská, det"
20,Madona ze Střížova
20,Madona ze Suchdola
22,"Alots Wachsman, Vuně nocí, akvarel"
23,"Alors Wachsmor, Odysseus a paní Bovarvovd, akvarc!"
24,"V Studený, Kvtice"
25,"V Studený, Kytice"
25,"V Studený, Zátiší"
26,"Jaroslav Grus, Římská ulíce"
27,"Jaroslav Grus, Silnice"
28,"Jaroslav Grus, Jiízdárna"
29,"Karel Pokorný, Studie k Matce boží, 1939"
30,"František Muzika, Kresb"
32,W p a
